ANO_EXERCICIO,UF,MUNICIPIO,ESFERA
2016,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2013,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2015,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA MUNICIPAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
2014,MG,LUZ,ADMINISTRAÇÃO PÚBLICA ESTADUAL
